depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,call,mint,1621455,50306,1571149
4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,balanceOf,1592257,1663,1590594
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1567139,308,1566831
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,balanceOf,1566473,702,1565771
4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1590104,644,1589460
4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,staticcall,feeTo,1584322,2314,1582008
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,call,stake,1571288,120081,1451207
4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,1546498,308,1546190
4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,stake,1545829,119120,1426709
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,call,Unresolved_d6460b4b,1487537,73708,1413829
6,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x2d2d83afe241c1ca57fec3eb9c4f4786f1e0ca31,staticcall,implementation,1464056,308,1463748
6,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,delegatecall,Unresolved_d6460b4b,1463383,72744,1390639
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,Unresolved_bb463027,1435471,6958,1428513
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1412803,308,1412495
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,Unresolved_bb463027,1412140,6003,1406137
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,staticcall,Unresolved_f5996fe4,1386535,1405,1385130
10,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,1364632,308,1364324
10,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,Unresolved_f5996fe4,1363968,447,1363521
5,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x1899ad7268e4e76d21b6a04061e17cec847a111b,call,transferFrom,1414403,8170,1406233
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,call,Unresolved_6e553f65,1452515,223293,1229222
4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,lpStakingPool,1424916,1429,1423487
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1402413,308,1402105
